Country,"('Unemployment, male (% of male labor force) (modeled ILO estimate)', '2018')","('Employment to population ratio', 'Total', '% ages 15 and older', '2018')","('Unemployment, female (% of female labor force) (modeled ILO estimate)', '2018')","('Gross domestic product', '$ billions', '2019')","('Health expenditure', 'Current', '% of GDP', '2017')","('Health expenditure', 'Public', '% of current', '2017')","('People using safely managed drinking water services', 'Unnamed: 2_level_1', '% of population', '2017')","('People using safely managed sanitation services', 'Unnamed: 4_level_1', '% of population', '2017')","('Lifetime risk of maternal mortality', 'Unnamed: 10_level_1', 'Probability 1 woman in:', '2017')","('Prevalence of undernourishment', 'Unnamed: 2_level_1', '% of population', '2018')","('Prevalence of smoking', 'Male', '% of adults', '2016')","('Prevalence of smoking', 'female', '% of adults', '2016')","('Cause of death', 'Communicable diseases and maternal, prenatal, and nutrition conditions', '% of population', '2016')","('Cause of death', 'Non-communicable diseases', '% of population', '2016')","('Life expectancy at birth', 'Unnamed: 2_level_1', 'years', '2018')","('Neonatal mortality rate', 'Unnamed: 4_level_1', 'per 1,000 live births', '2019')","('Infant mortality rate', 'Unnamed: 6_level_1', 'per 1,000 live births', '2019')","('Adult mortality rate', 'Male', 'per 1,000', '2013-18')","('Adult mortality rate', 'female', 'per 1,000', '2013-18')","('Gross intake ratio in first grade of primary education', 'Male', '% of relevant age group', '2018')","('Gross intake ratio in first grade of primary education', 'female', '% of relevant age group', '2018')","('Transition rate to secondary education', 'Male', '%', '2017')","('Transition rate to secondary education', 'female', '%', '2017')","('Youth literacy rate', 'Male', '% of ages 15-24', '2010-19')","('Youth literacy rate', 'female', '% of ages 15-24', '2010-19')","('Adult literacy rate', 'Male', '% ages 15 and older', '2010-19')","('Adult literacy rate', 'female', '% ages 15 and older', '2010-19')","('Primary completion rate', 'Male', '% of relevant age group', '2018')","('Primary completion rate', 'female', '% of relevant age group', '2018')","('Lower secondary completion rate', 'Male', '% of relevant age group', '2018')","('Lower secondary completion rate', 'female', '% of relevant age group', '2018')","('Access to electricity', 'Unnamed: 7_level_1', '% of population', '2015')","('Gross national income per capita, Atlas method', 'Unnamed: 5_level_1', '$', '2019')","('Population', 'Unnamed: 1_level_1', 'millions', '2019')","('Surface area', 'Unnamed: 2_level_1', 'sq. km thousands', '2019')","('Population density', 'Unnamed: 3_level_1', 'people per sq. km', '2019')"
Peru,3.3,74.7,3.5,226.8,5.0,63.4,50.4,42.8,480,6.7,34.04424778761062,5.0,20,69,77,6,10,146,85,107.0,106.0,96.0,95.0,99.0,99.0,97.0,92.0,98.0,94.0,99,97,93.9,6740.0,32.5,1285.2,25
Philippines,2.1,58.2,2.7,376.8,4.4,31.9,46.7,51.6,300,14.5,41.0,8.0,25,67,71,13,22,235,131,96.0,93.0,96.0,97.0,99.0,99.0,98.0,98.0,117.0,113.0,74,87,89.1,3850.0,108.1,300.0,358
Portugal,6.6,55.0,7.4,237.7,9.0,66.3,95.3,84.7,10700,2.5,30.0,16.0,10,86,81,2,3,104,42,105.44961240310077,103.96899224806202,93.07377049180327,92.87704918032787,100.0,100.0,97.0,95.0,100.0,99.0,92,98,100.0,23080.0,10.3,92.2,112
Qatar,0.1,86.6,0.5,183.5,2.6,80.7,96.2,96.0,5000,9.46271186440678,27.0,1.0,5,69,80,3,6,41,32,103.0,108.0,99.0,99.0,94.0,96.0,93.0,95.0,97.0,95.0,89,90,100.0,63410.0,2.8,11.6,240
Romania,4.7,52.7,3.5,250.1,5.2,78.6,81.9,76.5,3600,2.5,37.0,23.0,4,92,75,3,6,172,73,87.0,87.0,100.0,99.0,99.0,99.0,99.0,99.0,85.0,85.0,88,88,100.0,12630.0,19.4,238.4,85
Russian Federation,4.9,59.2,4.8,1699.9,5.3,57.1,76.0,61.3,3100,2.5,58.0,23.0,5,87,73,3,5,322,120,102.0,102.0,100.0,100.0,100.0,100.0,100.0,100.0,102.0,101.0,104,102,95.5,11260.0,144.4,17098.3,9
Rwanda,1.0,82.8,1.1,10.1,6.6,34.3,74.89615384615384,64.45,94,35.6,21.0,5.0,42,44,69,16,26,216,162,131.0,124.0,73.0,72.0,84.0,89.0,78.0,69.0,79.0,94.0,34,39,22.8,820.0,12.6,26.3,499
Samoa,7.5,40.2,9.8,0.9,5.5,74.5,58.8,48.5,590,2.5,38.0,17.0,12,81,73,8,13,138,81,114.0,116.0,95.0,98.0,99.0,99.0,99.0,99.0,106.0,104.0,104,107,99.7,4180.0,0.2,2.8,69
Sao Tome and Principe,8.8,50.4,20.8,0.4,6.2,45.6,74.89615384615384,64.45,170,12.0,34.04424778761062,9.68695652173913,34,55,70,14,24,188,124,91.0,92.0,94.0,100.0,98.0,98.0,96.0,90.0,82.0,87.0,67,81,66.2,1960.0,0.2,1.0,220
Saudi Arabia,2.9,52.1,22.5,793.0,5.2,64.1,74.89615384615384,77.8,2300,4.8,25.0,2.0,11,73,75,4,6,92,76,91.0,92.0,100.0,96.0,99.0,99.0,97.0,93.0,97.0,97.0,105,104,100.0,22850.0,34.3,2149.7,16
Senegal,6.2,42.7,7.1,23.6,4.1,21.0,74.89615384615384,21.5,65,9.4,17.0,0.0,46,42,68,22,33,216,145,89.0,100.0,75.0,71.0,76.0,64.0,65.0,40.0,55.0,67.0,34,41,60.5,1450.0,16.3,196.7,82
Serbia,12.0,48.1,13.7,51.4,8.4,56.7,74.7,24.7,5800,4.6,40.0,38.0,2,95,76,3,5,142,75,99.0,100.0,100.0,100.0,100.0,100.0,99.0,98.0,99.0,99.0,98,98,99.9,7020.0,6.9,88.4,80
Sierra Leone,5.2,55.4,3.6,3.9,13.4,13.7,9.9,13.3,20,26.0,41.0,9.0,58,33,54,31,81,392,353,168.0,176.0,89.0,92.0,71.0,63.0,52.0,35.0,81.0,83.0,52,50,19.7,500.0,7.8,72.3,106
Singapore,3.8,67.8,4.3,372.1,4.4,48.2,100.0,100.0,9900,9.46271186440678,28.0,5.0,23,74,83,1,2,60,35,101.0,101.0,100.0,98.0,100.0,100.0,99.0,96.0,100.0,100.0,100,99,100.0,59590.0,5.7,0.7,7953
Slovak Republic,6.1,55.9,7.0,105.4,6.7,79.1,99.8,82.5,12600,6.1,38.0,23.0,5,89,77,3,5,145,64,97.0,98.0,99.0,99.0,92.34166666666667,90.68333333333334,87.575,81.40833333333333,92.0,93.0,82,80,100.0,19320.0,5.5,49.0,113
Slovenia,4.6,55.9,5.7,53.7,8.2,71.8,98.1,83.0,9300,2.5,25.0,20.0,5,88,81,1,2,91,45,101.0,102.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,98.0,94,97,100.0,25750.0,2.1,20.7,103
South Africa,25.1,40.9,29.1,351.4,8.1,53.7,74.89615384615384,64.45,330,5.7,33.0,8.0,40,51,64,12,28,376,249,107.0,100.0,93.0,98.0,94.0,97.0,88.0,86.0,89.0,92.0,77,83,85.5,6040.0,58.6,1219.1,48
Spain,13.7,48.9,17.0,1394.1,8.9,70.6,98.4,96.6,21500,2.5,31.0,27.0,5,91,83,2,3,75,38,93.0,94.0,100.0,100.0,100.0,100.0,99.0,98.0,98.0,99.0,95,101,100.0,30390.0,47.1,505.9,94
Sri Lanka,2.8,51.9,6.6,84.0,3.8,42.9,74.89615384615384,64.45,1300,7.6,27.0,0.0,8,83,77,4,6,151,56,99.0,98.0,99.0,100.0,99.0,99.0,93.0,91.0,103.0,102.0,97,96,94.1,4020.0,21.8,65.6,346
Suriname,4.3,47.6,11.4,4.0,6.2,58.6,74.89615384615384,64.45,330,8.1,43.0,7.0,13,76,72,11,16,220,118,93.0,93.0,60.0,72.0,99.0,98.0,96.0,93.0,80.0,90.0,32,59,95.1,5540.0,0.6,163.8,4
Sweden,6.4,60.4,6.3,530.8,11.0,83.7,99.9,93.4,12600,2.5,19.0,19.0,5,90,83,1,2,62,38,102.0,102.0,100.0,99.0,92.34166666666667,90.68333333333334,87.575,81.40833333333333,104.0,104.0,111,107,100.0,55840.0,10.3,447.4,25
Switzerland,4.4,65.2,5.1,703.1,12.3,30.5,95.5,99.5,13900,2.5,29.0,23.0,4,90,84,3,4,58,36,99.0,102.0,100.0,100.0,92.34166666666667,90.68333333333334,87.575,81.40833333333333,96.0,97.0,94,97,100.0,85500.0,8.6,41.3,215
Tajikistan,11.8,37.3,10.1,8.1,7.2,29.0,47.9,64.45,1400,9.46271186440678,34.04424778761062,9.68695652173913,23,69,71,15,30,165,96,107.0,105.0,100.0,99.0,100.0,100.0,100.0,100.0,95.0,95.0,98,94,98.0,1030.0,9.3,141.4,66
Tanzania,1.5,81.9,2.5,63.2,3.6,43.2,74.89615384615384,25.4,36,25.0,27.0,3.0,56,33,65,20,36,250,193,108.0,110.0,73.0,69.0,87.0,85.0,83.0,73.0,65.0,73.0,29,30,26.5,1080.0,58.0,947.3,64
Thailand,0.8,67.1,0.7,543.6,3.7,76.1,74.89615384615384,64.45,1900,9.3,39.0,2.0,16,74,77,5,8,187,78,97.0,97.0,98.0,99.0,98.0,99.0,95.0,92.0,93.0,94.0,77,85,99.6,7260.0,69.6,513.1,136
Timor-Leste,3.2,64.4,6.0,1.7,3.9,66.0,74.89615384615384,64.45,170,30.9,78.0,6.0,46,45,69,20,38,169,117,92.0,87.0,92.0,94.0,82.0,85.0,72.0,64.0,101.0,106.0,85,97,67.3,1890.0,1.3,14.9,85
Togo,2.6,76.1,1.6,5.5,6.2,17.7,74.89615384615384,64.45,56,20.7,14.0,1.0,52,38,61,25,46,278,244,144.0,140.0,84.0,80.0,90.0,78.0,77.0,51.0,92.0,87.0,55,41,45.1,690.0,8.1,56.8,145
Tunisia,12.7,39.2,23.1,38.8,7.2,57.1,92.7,78.1,970,2.5,66.0,1.0,8,86,77,12,15,107,67,105.0,106.0,98.0,98.0,97.0,96.0,86.0,72.0,90.0,100.0,68,87,99.9,3360.0,11.7,163.6,74
Turkey,9.5,47.2,13.7,754.4,4.2,77.7,74.89615384615384,65.2,2800,2.5,41.0,14.0,4,89,77,5,9,119,62,96.0,95.0,100.0,100.0,100.0,100.0,99.0,93.0,89.0,88.0,87,86,100.0,9610.0,83.4,785.4,107
Uganda,1.3,69.1,2.2,34.4,6.2,15.7,7.1,64.45,49,9.46271186440678,17.0,3.0,55,33,63,20,33,302,233,139.0,140.0,61.0,57.0,89.0,90.0,83.0,71.0,52.0,54.0,28,25,18.5,780.0,44.3,241.6,213
United Kingdom,4.0,60.2,3.9,2827.1,9.6,79.4,100.0,97.8,8400,2.5,25.0,20.0,8,89,81,3,4,86,55,98.0,98.0,100.0,100.0,92.34166666666667,90.68333333333334,87.575,81.40833333333333,101.0,100.0,102,101,100.0,42370.0,66.8,243.6,275
Uzbekistan,5.9,61.3,5.5,57.9,6.4,43.3,58.9,64.45,1200,2.6,25.0,1.0,10,84,72,10,16,170,101,103.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,104.0,102.0,97,95,100.0,1800.0,33.6,447.4,77
"Venezuela, RB",6.7,55.8,8.0,1821.3730769230767,1.2,15.9,74.89615384615384,23.8,330,31.4,34.04424778761062,9.68695652173913,11,70,72,15,21,207,95,96.0,95.0,99.0,99.0,98.0,99.0,97.0,97.0,92.0,93.0,71,80,100.0,12415.348837209302,28.5,912.1,33
Vietnam,2.1,76.0,1.8,261.9,5.5,48.6,74.89615384615384,64.45,1100,6.4,46.0,1.0,12,77,75,11,16,189,76,114.0,117.0,100.0,100.0,98.0,98.0,96.0,94.0,109.0,112.0,95,101,99.8,2540.0,96.5,331.2,308
East Asia & Pacific,4.1,65.1,3.4,26979.8,6.6,67.1,74.89615384615384,63.5,800,5.1,49.0,3.0,9,84,76,7,12,124,76,104.0,103.0,97.0,96.0,99.0,99.0,97.0,94.0,98.0,98.0,85,87,97.1,11726.0,2340.6,24827.7,95
Europe & Central Asia,6.8,54.5,7.0,22748.8,9.3,72.8,91.8,67.4,4300,2.7,38.0,21.0,5,89,78,4,7,123,62,97.0,97.0,99.0,99.0,100.0,100.0,99.0,98.0,97.0,98.0,94,95,99.3,25163.0,921.1,28691.0,33
Latin America & Caribbean,6.9,58.9,9.4,5719.3,8.0,52.2,74.3,31.3,630,7.4,21.0,9.0,14,75,75,9,14,177,93,101.0,100.0,96.0,94.0,98.0,99.0,95.0,94.0,98.0,98.0,77,82,97.3,8775.0,646.4,20425.5,32
Low income,4.8,63.9,5.0,521.3,5.7,20.1,26.7,64.45,45,9.46271186440678,34.04424778761062,9.68695652173913,50,38,63,27,48,264,206,129.0,119.0,78.0,75.0,76.0,70.0,69.0,54.0,67.0,63.0,44,36,33.3,792.0,668.5,12870.1,52
Lower middle income,5.0,52.0,5.5,6341.1,4.0,33.7,53.7,64.45,130,12.7,27.0,2.0,31,59,68,24,37,211,153,105.0,101.0,89.0,89.0,91.0,88.0,82.0,69.0,89.0,89.0,73,76,80.3,2189.0,2913.4,22578.8,131
Middle East & North Africa,8.0,42.9,18.4,3701.4,5.7,57.7,77.8,34.7,570,6.3,35.0,2.0,12,75,74,12,18,128,86,103.0,101.0,92.0,91.0,92.0,88.0,85.0,73.0,93.0,90.0,75,76,97.0,7994.0,456.7,11370.6,40
North America,4.2,60.0,4.0,23117.8,16.6,51.3,99.0,79.8,3100,2.5,24.0,18.0,5,88,79,4,5,139,82,100.0,102.0,100.0,98.0,92.34166666666667,90.68333333333334,87.575,81.40833333333333,104.0,96.0,92,97,100.0,63778.0,365.9,19820.5,20
South Asia,5.0,48.6,5.3,3598.0,3.5,27.1,74.89615384615384,64.45,240,13.8,25.0,2.0,27,62,69,25,33,195,142,106.0,104.0,91.0,91.0,92.0,88.0,81.0,65.0,89.0,91.0,78,81,84.5,2019.0,1835.8,5135.3,380
Sub-Saharan Africa,5.7,62.8,6.7,1755.0,5.1,36.1,27.3,18.7,38,17.5,18.0,2.0,56,34,61,28,52,303,243,118.0,108.0,75.0,76.0,79.0,74.0,72.0,59.0,70.0,67.0,47,42,39.3,1550.0,1107.0,21754.5,51
Upper middle income,5.8,61.4,5.8,25817.1,5.7,55.4,74.89615384615384,59.6,900,4.6,45.0,5.0,9,83,75,7,11,131,80,101.0,101.0,98.0,97.0,99.0,99.0,97.0,94.0,96.0,96.0,84,86,98.8,9074.0,2855.9,59108.0,49
World,5.3,57.6,5.6,87697.5,9.9,59.5,70.6,45.0,190,8.9,35.0,6.0,20,71,73,18,28,175,121,107.0,104.0,91.0,91.0,93.0,91.0,90.0,83.0,90.0,89.0,75,76,86.6,11570.0,7673.5,132025.2,60
